code,symbol,name,industry
504080,JSLINDL,JSL Industries Ltd,
504084,KAYCEEI,Kaycee Industries Ltd,
504092,INDOKEM,Indokem Ltd,
504093,PANAENERG,Panasonic Energy India Company Ltd-$,
504112,NELCO,Nelco Ltd,
504132,PERMAGN,Permanent Magnets Ltd-$,
504176,HIGHENE,High Energy Batteries India Ltd,
504180,STDBAT,Standard Batteries Ltd,
504212,UNIVCABLES,Universal Cables Ltd,
504220,WSI,W. S. Industries (India) Ltd-$,
504240,DLTNCBL,Delton Cables Ltd,
504258,LAKSELEC,Lakshmi Electrical Control Systems Ltd,
504273,MODULEX,Modulex Construction Technologies Ltd,
504286,DELTAMAGNT,Delta Manufacturing Ltd,
504340,LONGSPUR,Longspur International Ventures Ltd,
504341,RELTD,Ravindra Energy Ltd,
504351,EMPOWER,Empower India Ltd,
504356,ZMULTIPU,Multipurpose Trading & Agencies Ltd,
504365,RIDHISYN,Ridhi Synthetics Ltd,
504369,GRANDMA,Grandma Trading & Agencies Ltd,
504370,ARDIALL,Ardi Alliances Ltd,
504375,IDREAM,IDream Film Infrastructure Company Ltd,
504378,NYSSACORP,Nyssa Corporation Ltd,
504380,FLOMIC,Flomic Global Logistics Ltd,
504392,KRISHNA,Krishna Ventures Ltd,
504397,GANHOLD,Ganesh Holdings Ltd,
504398,SJCORP,SJ Corporation Ltd,
504605,UNIABEXAL,Uni Abex Alloy Products Ltd,
504614,SARDAEN,Sarda Energy & Minerals Ltd-$,
504646,BGWTATO,Bhagwati Autocast Ltd,
504648,BOMBWIR,Bombay Wire Ropes Ltd,
504697,GALADA,Galada Power & Telecommunication Ltd,
504731,AZADIND,Azad India Mobility Ltd,
504741,INDIANHUME,Indian Hume Pipe Company Ltd,
504746,INLCM,Indian Link Chain Manufacturers Ltd,
504786,INVPRECQ,Investment & Precision Castings Ltd,
504810,INFORTEC,Informed Technologies India Ltd,
504840,KAIRA,Kaira Can Company Ltd,
504879,ORIENTCER,Orient Ceratech Ltd-$,
504882,NATIONSTD,National Standard (India) Ltd,
504903,RATHIST,Rathi Steel & Power Ltd-$,
504908,DUNCANENG,Duncan Engineering Ltd-$,
504918,SANDUMA,Sandur Manganese & Iron Ores Ltd,
504959,STOVACQ,Stovec Industries Ltd,
504973,CHOLAHLDNG,Cholamandalam Financial Holdings Ltd,
504988,ZWELCAST,Welcast Steels Ltd,
504998,WMINIMT,Western Ministil Ltd,
505010,AUTOAXLES,Automotive Axles Ltd,
505029,ATLASCYCLE,Atlas Cycles (Haryana) Ltd,
505032,AUTOPRD,Automobile Products of India Ltd,
505036,ACGL,Automobile Corporation of Goa Ltd-$,
505075,SETCO,Setco Automotive Ltd,
505160,TALBROAUTO,Talbros Automotive Components Ltd,
505163,ZFSTEERING,ZF Steering Gear India Ltd-$,
505192,SMLMAH,SML Mahindra Ltd,
505196,TIL,TIL Ltd,
505200,EICHERMOT,Eicher Motors Ltd,
505212,JAINEX,Jainex Aamcol Ltd,
505216,ALFREDHE,Alfred Herbert India Ltd,
505232,VELJAN,Veljan Denison Ltd,
505242,DYNAMATECH,Dynamatic Technologies Ltd-$,
505250,GGDPROP,G. G. Dandekar Properties Ltd,
505255,GMMPFAUDLR,GMM Pfaudler Ltd,
505283,KIRLPNU,Kirloskar Pneumatic Company Ltd,
505285,TULIVE,Tulive Developers Ltd,
505299,KPT,KPT Industries Ltd,
505302,LAKSHMIEW,Lakshmi Engineering And Warehousing Ltd,
505324,MANUGRAPH,Manugraph India Ltd-$,
505336,HARSHILAGR,Harshil Agrotech Ltd,
505343,MONOT,Monotype India Ltd,
505355,NESCO,NESCO Ltd,
505358,INTEGRAEN,Integra Engineering India Ltd,
505368,SEMAC,Semac Construction Ltd-$,
505400,TEXINFRA,Texmaco Infrastructure & Holdings Ltd,
505412,WENDT,Wendt (India) Ltd,
505502,PSITINFRA,PS IT Infrastructure & Services Ltd,
505504,GHVINFRA,GHV Infra Projects Ltd,
